from_id,from_name,to_id,to_name,rel_type,note,source,status
P0144,王沈,,曹髦,与帝,出卖髦谋,本传,草稿
P0144,王沈,,司马昭,府主,告密,本传,草稿
P0144,王沈,,王业,同僚,俱告,本传,草稿
P0145,王粲,,曹操,府主,丞相掾,本传,草稿
P0145,王粲,,曹丕,与帝,魏侍中,本传,草稿
P0145,王粲,,建安七子,同僚,文学,本传,草稿
P0147,王舜,,哀帝,与帝,护太子家有旧恩,证据,草稿
P0147,王舜,P0148,王莽,从父,,证据,草稿
P0149,王蕃,,孙皓,与帝,被杀,本传,草稿
P0150,王辅,,皇帝,与帝,奉使祈祭,证据/考订,草稿
P0151,王逸,,王延寿,子,鲁灵光殿赋,本传,草稿
P0152,王邑,P0148,王莽,从父,,证据/考订,草稿
P0152,王邑,,哀帝,与帝,矫太后指,证据/考订,草稿
P0155,王龚,P0035,刘歆,同僚,共校书,证据,草稿
P0155,王龚,,房凤,同僚,三人皆侍中,证据,草稿
P0156,班伯,,许商,同僚,,证据,草稿
P0156,班伯,,师丹,同僚,,证据,草稿
P0158,甄邯,,孔光,姻亲,,证据,草稿
P0158,甄邯,P0148,王莽,府主,,证据,草稿
P0158,甄邯,P0129,淳于长,政敌,建白诛讨,证据,草稿
P0159,种劭,,种暠,祖,司徒,本传,草稿
P0159,种劭,P0012,何进,府主,进败,本传,草稿
P0159,种劭,P0252,马宇,同谋,诛傕,本传,草稿
P0160,种辑,,荀攸,同谋,诛卓,证据,草稿
P0160,种辑,,董卓,政敌,,证据,草稿
P0161,窦宪,,章德窦皇后,外戚,皇后兄,本传/考订,草稿
P0161,窦宪,,和帝,与帝,外戚之重,本传/考订,草稿
P0161,窦宪,,张林,举主,荐为尚书,本传/考订,草稿
P0161,窦宪,,陈宠,政敌,斥林,本传/考订,草稿
P0161,窦宪,,耿秉,同僚,北伐副手,本传/考订,草稿
P0162,窦机,,窦武,父,大将军,本传,草稿
P0162,窦机,,窦靖,兄弟,亦侍中,本传,草稿
P0163,耿承,,耿宝,从父,大将军,本传,草稿
P0163,耿承,,耿氏,宗族,外戚,本传,草稿
P0164,耿箕,,耿宝,父,,本传,草稿
P0164,耿箕,P0163,耿承,从父,亦侍中,本传,草稿
P0165,耿纪,,耿弇,先祖,云台,本传,草稿
P0165,耿纪,,曹操,政敌,起兵被夷三族,本传,草稿
P0166,苏武,P0109,李陵,同僚,俱侍中,本传/考订,草稿
P0166,苏武,,武帝,与帝,使匈奴,本传/考订,草稿
P0166,苏武,,苏建,父,,本传/考订,草稿
P0169,荀顗,,荀彧,父,尚书令,本传,草稿
P0169,荀顗,,司马炎,与帝,晋太尉,本传,草稿
P0169,荀顗,P0058,和峤,同僚,观太子,本传,草稿
P0170,萧育,,萧望之,父,前将军,本传,草稿
P0170,萧育,,马廖,举主,举方正,本传,草稿
P0170,萧育,P0192,贾逵,同僚,白虎观难,本传,草稿
P0171,董允,,诸葛亮,举主,出师表,本传,草稿
P0171,董允,,黄皓,政敌,皓畏允,本传,草稿
P0171,董允,,刘禅,与帝,匡谏,本传,草稿
P0172,董贤,,哀帝,与帝,宠幸无比,本传/考订,草稿
P0172,董贤,P0148,王莽,政敌,诛贤,本传/考订,草稿
P0172,董贤,,董恭,父,,本传/考订,草稿
P0174,蔡茂,,光武帝,与帝,司徒,本传,草稿
P0174,蔡茂,P0148,王莽,与帝,莽时免官,本传,草稿
P0176,虞子和,,刘虞,父,幽州牧,本传,草稿
P0176,虞子和,,献帝,与帝,奉使,本传,草稿
P0177,袁隗,,袁安,祖,司空,本传,草稿
P0177,袁隗,,袁绍,从子,,本传,草稿
P0177,袁隗,P0211,郑玄,其他,被表未行,本传,草稿
P0178,许允,,曹爽,同僚,,证据/考订,草稿
P0178,许允,,司马懿,与大将军,,证据/考订,草稿
P0180,许慎,P0192,贾逵,师,受古学,本传,草稿
P0180,许慎,,五经,其他,说文解字,本传,草稿
P0181,许相,,曹节,同僚,并封侯,证据/考订,草稿
P0181,许相,,灵帝,与帝,,证据/考订,草稿
P0182,许章,,外戚王氏/许氏,外戚,以外属贵,证据/考订,草稿
P0183,诸葛瞻,,诸葛亮,父,,证据/考订,草稿
P0183,诸葛瞻,,刘禅,与帝,尚公主,证据/考订,草稿
P0183,诸葛瞻,,诸葛恪,从父,,证据/考订,草稿
P0186,谢笃,,谢恽,兄弟,虎贲中郎将,证据,草稿
P0187,费祎,,诸葛亮,举主,出师表,本传,草稿
P0187,费祎,,蒋琬,同僚,相继执政,本传,草稿
P0187,费祎,P0171,董允,同僚,侍中,本传,草稿
P0189,贾复,,光武帝,与帝,云台,本传,草稿
P0189,贾复,,寇恂,同僚,帝为解纷,本传,草稿
P0190,贾建,,临颍公主,夫妻,尚主,证据/考订,草稿
P0191,贾彪,,郭泰,同僚,党锢,本传,草稿
P0191,贾彪,P0108,李膺,同僚,八俊,本传,草稿
P0192,贾逵,,鲁丕,同僚,荐丕,本传/考订,草稿
P0192,贾逵,,和帝,与帝,,本传/考订,草稿
P0192,贾逵,,贾谊,先祖,九世孙,本传/考订,草稿
P0193,赵代,P0112,来历,同僚,,证据,草稿
P0196,赵憙,,光武帝,与帝,太尉,本传,草稿
P0196,赵憙,,更始帝,府主,,本传,草稿
P0197,赵苞,,灵帝,与帝,侍中,本传,草稿
P0199,邓叠,P0161,窦宪,府主,副手,证据/考订,草稿
P0199,邓叠,,邓氏,宗族,,证据/考订,草稿
P0200,邓干,,邓禹系,宗族,外戚,本传,草稿
P0201,邓建,,邓太后,宗族,外戚,本传,草稿
P0202,邓弘,,邓悝,兄弟,,证据,草稿
P0202,邓弘,P0204,邓阊,兄弟,亦侍中,证据,草稿
P0203,邓蕃,,邓禹系,宗族,外戚,证据/考订,草稿
P0203,邓蕃,,平皋公主,夫妻,尚主,证据/考订,草稿
P0204,邓阊,P0202,邓弘,兄弟,,证据,草稿
P0205,邓骘,,邓禹,祖,云台之首,本传,草稿
P0205,邓骘,,和熹邓皇后,兄弟,,本传,草稿
P0205,邓骘,,鲁丕,其他,侍中,本传,草稿
P0208,郑小同,P0211,郑玄,祖,,证据/考订,草稿
P0208,郑小同,,郑冲,同僚,,证据/考订,草稿
P0209,郑弘,,第五伦,举主,举孝廉,本传,草稿
P0209,郑弘,P0161,窦宪,政敌,劾宪党,本传,草稿
P0211,郑玄,P0177,袁隗,举主,表为侍中,後漢書卷六十五,草稿
P0211,郑玄,P0012,何进,同僚,进设几杖礼待，玄不受朝服,後漢書卷六十五,草稿
P0212,郑称,,曹叡,与帝,为武德侯傅,本传,草稿
P0212,郑称,,曹丕,与帝,黄初中,本传,草稿
P0215,郭举,P0161,窦宪,姻亲,女弟婿,证据/考订,草稿
P0215,郭举,P0199,邓叠,同谋,,证据/考订,草稿
P0216,郭攸之,,诸葛亮,举主,出师表所举,证据/考订,草稿
P0216,郭攸之,P0187,费祎,同僚,俱侍中,证据/考订,草稿
P0216,郭攸之,P0171,董允,同僚,侍郎,证据/考订,草稿
P0216,郭攸之,,刘禅,与帝,,证据/考订,草稿
P0218,金安上,P0220,金日磾,从父,,本传/考订,草稿
P0218,金安上,P0219,金敞,子,亦侍中,本传/考订,草稿
P0218,金安上,,宣帝,与帝,,本传/考订,草稿
P0218,金安上,,霍氏,政敌,发其反,本传/考订,草稿
P0218,金安上,P0052,史高,同僚,共发霍氏,本传/考订,草稿
P0219,金敞,P0218,金安上,父,,证据/考订,草稿
P0219,金敞,,萧望之,府主,共事,证据/考订,草稿
P0219,金敞,,刘向,同僚,拾遗左右,证据/考订,草稿
P0219,金敞,,元帝,与帝,,证据/考订,草稿
P0220,金日磾,,金賞,子,侍中,本传/考订,草稿
P0220,金日磾,,金建,子,侍中,本传/考订,草稿
P0220,金日磾,P0218,金安上,从子,伦支侍中,本传/考订,草稿
P0220,金日磾,P0242,霍光,同僚,共辅政,本传/考订,草稿
P0220,金日磾,,武帝,与帝,近侍,本传/考订,草稿
P0221,金汤,P0222,金涉,父,,证据,草稿
P0221,金汤,P0223,金融,兄弟,亦侍中,证据,草稿
P0222,金涉,P0148,王莽,同僚,为莽言,证据/考订,草稿
P0222,金涉,P0219,金敞,宗族,,证据/考订,草稿
P0223,金融,P0222,金涉,父,,证据,草稿
P0223,金融,P0221,金汤,兄弟,,证据,草稿
P0227,钟繇,,曹操,府主,督关中,本传,草稿
P0227,钟繇,,曹丕,与帝,太傅,本传,草稿
P0228,闾丘弘,P0112,来历,同僚,证太子无过,证据,草稿
P0229,阎畅,,阎皇后,女,安帝后,本传,草稿
P0229,阎畅,,安帝,与帝,国丈,本传,草稿
P0230,阚泽,,孙权,与帝,太子太傅,本传,草稿
P0231,阴兴,,阴丽华,兄弟,光武阴后,本传,草稿
P0231,阴兴,P0233,阴识,兄弟,,本传,草稿
P0231,阴兴,,光武帝,与帝,顾命,本传,草稿
P0232,阴统,,阴识/阴兴,宗族,外戚,证据,草稿
P0233,阴识,,阴丽华,兄弟,光武阴后,本传,草稿
P0233,阴识,,光武帝,与帝,国舅,本传,草稿
P0234,陈俊,,光武帝,与帝,云台二十八将,本传,草稿
P0234,陈俊,,吴汉,同僚,共击,本传,草稿
P0235,陈光,P0112,来历,同僚,,证据,草稿
P0237,陈球,,宦官,政敌,谋诛曹节死,本传,草稿
P0237,陈球,,灵帝,与帝,,本传,草稿
P0239,陈祗,P0171,董允,其他,代允,本传,草稿
P0239,陈祗,,黄皓,同谋,表里,本传,草稿
P0239,陈祗,,刘禅,与帝,甚见信任,本传,草稿
P0240,陈群,,陈寔,祖,太丘长,本传,草稿
P0240,陈群,,曹操,府主,,本传,草稿
P0240,陈群,,曹丕,与帝,九品制,本传,草稿
P0242,霍光,P0243,霍去病,兄弟,,本传/考订,草稿
P0242,霍光,,武帝,与帝,受遗诏,本传/考订,草稿
P0242,霍光,P0220,金日磾,同僚,共辅政,本传/考订,草稿
P0242,霍光,,昭帝,与帝,,本传/考订,草稿
P0242,霍光,,宣帝,与帝,废立,本传/考订,草稿
P0243,霍去病,P0048,卫青,姻亲,,本传/考订,草稿
P0243,霍去病,,武帝,与帝,冠军侯,本传/考订,草稿
P0244,霍嬗,P0243,霍去病,父,,证据,草稿
P0244,霍嬗,,武帝,与帝,从封禅,证据,草稿
P0245,霍山,P0242,霍光,先祖,,证据,草稿
P0245,霍山,P0246,霍禹,兄弟,,证据,草稿
P0246,霍禹,P0242,霍光,父,,证据,草稿
P0246,霍禹,,宣帝,与帝,霍氏败,证据,草稿
P0247,韩增,P0242,霍光,同僚,定策,证据,草稿
P0247,韩增,,宣帝,与帝,定策功,证据,草稿
P0248,韩嵩,,刘表,府主,表使嵩诣许,後漢書/三國志,草稿
P0248,韩嵩,,曹操,与帝,拜嵩侍中,後漢書卷109,草稿
P0248,韩嵩,,袁绍,同僚,表结绍时嵩谏,後漢書卷109,草稿
P0249,韩说,,刘洪,同僚,历算,证据/考订,草稿
P0249,韩说,,蔡较,同僚,,证据/考订,草稿
P0252,马宇,,马腾,同谋,袭长安,本传,草稿
P0252,马宇,P0159,种劭,同谋,诛傕,本传,草稿
P0252,马宇,,李傕,政敌,,本传,草稿
P0253,马康,,马援,祖,,证据,草稿
P0253,马康,,马光,父,太仆,证据,草稿
P0254,马武,,光武帝,与帝,云台,本传,草稿
P0254,马武,,王常,同僚,绿林旧部,本传,草稿
P0255,马良,,刘备,与帝,侍中,本传,草稿
P0255,马良,,马谡,兄弟,失街亭,本传,草稿
P0255,马良,,诸葛亮,同僚,,本传,草稿
P0256,高堂隆,,明帝,与帝,切谏宫室,本传,草稿
P0256,高堂隆,,杨阜,同僚,并谏,本传,草稿
P0257,魏应,P0128,淳于恭,同僚,白虎观奏之,类传,草稿
P0257,魏应,,诸儒,同僚,白虎观,类传,草稿
P0258,鲍勋,,鲍信,父,曹操旧将,本传,草稿
P0258,鲍勋,,曹丕,与帝,谏诤被诛,本传,草稿
P0259,黄权,,曹丕,与帝,降魏后,证据,草稿
P0259,黄权,,刘备,府主,先主,证据,草稿
P0035,刘歆,P0033,刘棻,子,对称边←刘棻-父,证据,草稿
P0048,卫青,P0046,卫伉,子,对称边←卫伉-父,证据,草稿
P0064,孙峻,P0066,孙綝,从子,对称边←孙綝-从父,本传,草稿
P0083,张彭祖,P0080,张千秋,兄弟,对称边←张千秋-兄弟,证据,草稿
P0084,张放,P0087,张纯,子,对称边←张纯-父,类传,草稿
P0152,王邑,P0137,王奇,兄弟,对称边←王奇-兄弟,证据/考订,草稿
P0148,王莽,P0147,王舜,从子,对称边←王舜-从父,证据,草稿
P0148,王莽,P0152,王邑,从子,对称边←王邑-从父,证据/考订,草稿
P0163,耿承,P0164,耿箕,从子,对称边←耿箕-从父,本传,草稿
P0211,郑玄,P0208,郑小同,孙（待核）,对称边←郑小同-祖,证据/考订,草稿
P0222,金涉,P0221,金汤,子,对称边←金汤-父,证据,草稿
P0222,金涉,P0223,金融,子,对称边←金融-父,证据,草稿
P0233,阴识,P0231,阴兴,兄弟,对称边←阴兴-兄弟,本传,草稿
P0243,霍去病,P0242,霍光,兄弟,对称边←霍光-兄弟,本传/考订,草稿
P0243,霍去病,P0244,霍嬗,子,对称边←霍嬗-父,证据,草稿
P0246,霍禹,P0245,霍山,兄弟,对称边←霍山-兄弟,证据,草稿
P0242,霍光,P0246,霍禹,子,对称边←霍禹-父,证据,草稿
